id_zone,zone_sdau,aire_ha,type_zone,statut_amenagement,geom_wkt
0,Zone inondable non aedificandi,0.04,Naturelle,À protéger,"MULTIPOLYGON(((-0.624525933383945 12.244294075932716,-0.624757750038474 12.244258158604666,-0.624786385576296 12.244407503627157,-0.624544421671058 12.24439292598985,-0.624525933383945 12.244294075932716)))"
1,Zone bleue de barrage et cours d’eau,2.48,Naturelle,À protéger,"MULTIPOLYGON(((-0.625160904809218 12.247382648658164,-0.625136201893235 12.247535446676459,-0.625104952620242 12.247550477448886,-0.625057531231011 12.247634223566813,-0.625149431411254 12.247795681161874,-0.625086522187186 12.247871642669564,-0.624944942076135 12.248046380980835,-0.624866134279401 12.248160457760905,-0.624741205256861 12.24821293064034,-0.624631353281297 12.248319088051447,-0.624436284133811 12.248386254833955,-0.624116354136356 12.248498244014241,-0.62389113091041 12.248458041156855,-0.623713398234177 12.248326442373045,-0.623645038668126 12.248142236518063,-0.623607928554639 12.247943000088318,-0.623500267736855 12.247804357399263,-0.623322741132864 12.247649808514428,-0.623183420310829 12.247572096206978,-0.623068461205928 12.247379836159688,-0.623178861117233 12.2472124795269,-0.623552619934399 12.247169812542275,-0.624603482811452 12.247087102515726,-0.625039260990276 12.247067921946023,-0.625178719155604 12.247130333370832,-0.625160904809218 12.247382648658164)))"
2,Zone administrative à réhabiliter,4.66,Équipements,À réhabiliter,"MULTIPOLYGON(((-0.61605470056055 12.241903233718018,-0.615837085729916 12.241013794482216,-0.615856777217907 12.238819654200203,-0.615859448002222 12.238522027204558,-0.617435678990957 12.238535705826644,-0.618031390941893 12.238792954228085,-0.617789669345509 12.239334460629506,-0.61740367442559 12.24019916289786,-0.616514349541632 12.240292277652543,-0.616125057763014 12.24178457771917,-0.61605470056055 12.241903233718018)))"
3,zone de restructuration urbaine,3.91,Habitat,À restructurer,"MULTIPOLYGON(((-0.61952001917966 12.23266738769996,-0.618997263405712 12.23199519859227,-0.619616366019528 12.231843036009376,-0.619457978822967 12.231334141821819,-0.619052086081869 12.231170355173857,-0.618840346809097 12.230554151906354,-0.618408975424642 12.230203162113224,-0.619124280378694 12.229642898387304,-0.619498765704047 12.22981192882391,-0.620549207626084 12.230782647140652,-0.620381256095353 12.23134213865265,-0.620100792300055 12.23261024649795,-0.619991898346139 12.232632362700594,-0.61972428522777 12.232658734148455,-0.619524897684915 12.232666570001937,-0.61952001917966 12.23266738769996)))"
