id_secteur,nom_secteur,geom_wkt
1,Secteur 6,"MULTIPOLYGON(((-0.629049101684173 12.246349880402986,-0.629392577660364 12.246338872362422,-0.629693365004337 12.246301304312547,-0.630171999384474 12.246273878424393,-0.630528205627835 12.246236787897695,-0.630612818008678 12.246234649324169,-0.630931131625118 12.246194362170991,-0.631147204141441 12.246170406178553,-0.631585080369137 12.246134019046536,-0.631964518528023 12.246108602976593,-0.632469634382103 12.246055580564583,-0.632811282209132 12.24601549240169,-0.633263742396141 12.24597922827174,-0.633441871052204 12.24595781221743,-0.633693021684781 12.245925549611613,-0.633812788981262 12.245906499163665,-0.634089986191615 12.245897412609947,-0.634376163831921 12.245862582271533,-0.634609507012235 12.24586459318695,-0.634892767860887 12.245829737155075,-0.635184549114598 12.245820775133375,-0.635794797096438 12.245754307140517,-0.636188742752277 12.24573761697769,-0.636437027594693 12.245699589095016,-0.636650030033303 12.245692816122423,-0.636965350015921 12.24566110288223,-0.637642709699633 12.24559233936535,-0.638147697817357 12.245553649982842,-0.638600260195488 12.245505901658724,-0.639429369684883 12.245429831981385,-0.640144775107652 12.245347044232151,-0.64073749656042 12.245283283138269,-0.64153439378296 12.245221275012012,-0.642165084505986 12.245152098930587,-0.642401625350051 12.245122571529059,-0.643093466912861 12.24506539443393,-0.643729991129446 12.244996264696766,-0.644459878351626 12.24492506556609,-0.644906505100604 12.244888731531026,-0.645385343868708 12.244838327997371,-0.64587861402913 12.244805261415387,-0.646398364296048 12.244746599854107,-0.646789698922309 12.24469544352508,-0.647145904774152 12.244658330591704,-0.647464115923504 12.244629498616556,-0.647799954950576 12.244586472233607,-0.648027592708899 12.244574077574322,-0.64819093375154 12.244575476971958,-0.648737062122988 12.24450269170309,-0.64918489623585 12.244461770375805,-0.649374666351959 12.2444433122565,-0.649672586795006 12.244399958796327,-0.649874049507486 12.244378731405126,-0.650145642487906 12.244343759074994,-0.650440569896983 12.24430898617531,-0.650799667033491 12.244274762073337,-0.651176265007833 12.244240687220694,-0.651526662454119 12.244200649656145,-0.651777812318828 12.244168369775027,-0.652139851590387 12.244131299995558,-0.652639158348881 12.244075320296803,-0.653068385598311 12.244027347630176,-0.65347714445743 12.243984937363182,-0.653847984776078 12.243942202414162,-0.654198458080777 12.243893554860378,-0.654753108044828 12.243846651117172,-0.654994949268715 12.243811419609814,-0.655240239982826 12.24378195539553,-0.655791998434 12.243732155749916,-0.656402245018946 12.243665640064323,-0.65694246274665 12.243601394345502,-0.657724902386655 12.243524868995854,-0.658294313420936 12.243458000532376,-0.658688538529311 12.24340972015189,-0.659065136282157 12.243375634055662,-0.659389256656302 12.243338231003147,-0.659900305937726 12.243273730533438,-0.660983581614409 12.243153854922197,-0.661554016759718 12.243081058773248,-0.662106671445633 12.24303986069978,-0.662511810071353 12.24296680248606,-0.66283889752163 12.242923682354203,-0.663243766734713 12.242881223827695,-0.663531828621295 12.24285307224703,-0.663812045030394 12.242832504381406,-0.66419364694751 12.24278219563171,-0.66443490516757 12.242768946455742,-0.664738792462101 12.242710325022419,-0.664902134320806 12.242711714274078,-0.665298821775065 12.242715087767273,-0.665547723767242 12.242717204176875,-0.66571604082758 12.242736185090635,-0.666569519574573 12.243726167186129,-0.66737207325052 12.245834807627977,-0.668656982193669 12.247357662671625,-0.6694184097156 12.248214268633793,-0.669947878565702 12.249527097902348,-0.669607651715154 12.251030819852554,-0.667990733112077 12.255780954632288,-0.66833882185862 12.25694547723949,-0.668990106734521 12.258065237197892,-0.680769312897511 12.26386604890224,-0.682648212907911 12.268867990164335,-0.683457229649889 12.27186611103165,-0.683042732061726 12.273198241642973,-0.679792859700925 12.274531107358207,-0.675985722091552 12.27495941033923,-0.672764115404681 12.274960180315613,-0.661220633205821 12.275574593372387,-0.654376741395825 12.276931685099912,-0.654350327049572 12.276808738646636,-0.654177329588347 12.276577735111188,-0.653985660468473 12.27647854649169,-0.6536310877109 12.276326319698027,-0.653328871847278 12.276191755277804,-0.652956186882517 12.276108228975584,-0.652542051768982 12.276093203329216,-0.652345312337833 12.275907899744654,-0.652212750600953 12.275723146252092,-0.651932398523008 12.275755170913135,-0.651833520457537 12.275719894937634,-0.651689036236082 12.275563729203613,-0.651532781834944 12.275418938554838,-0.651439738267154 12.27538371249801,-0.651165933237936 12.27533546013966,-0.650792843560951 12.275297831968494,-0.650647240640288 12.275267892853146,-0.650477282695396 12.275352505283019,-0.650237567605011 12.275407828960905,-0.64998623476676 12.275457314696464,-0.649635413370256 12.27554037453326,-0.649442881620343 12.275538722144692,-0.649192516195188 12.275479192973417,-0.649018251334769 12.275391626758045,-0.648750994537254 12.27526309596931,-0.648552781635845 12.275244180154603,-0.648389931070066 12.275185401700252,-0.648185884019347 12.275166435539548,-0.647906246134843 12.275118129967629,-0.647785152936727 12.274956425485877,-0.647646251339349 12.274828996124377,-0.647384473529052 12.27474067737983,-0.647071104928581 12.274548630938712,-0.646839671283195 12.274328598101015,-0.646783673343646 12.274064168339807,-0.646545896345082 12.273901460997074,-0.646500088945577 12.27380352117896,-0.646466612732282 12.27363109314345,-0.646358005135137 12.273377687360727,-0.646167259700561 12.273175217865093,-0.645988030054803 12.272990061282881,-0.645907727477064 12.272834444868389,-0.645833972976118 12.27259855256493,-0.645695991280519 12.272367846286091,-0.645564353881767 12.272079814401161,-0.645478574473966 12.271883984802246,-0.645374680709268 12.271756855617777,-0.645183784109692 12.271571598477308,-0.644980301453637 12.271489517202944,-0.644910750202076 12.271437277229808,-0.644748158048267 12.271349809323022,-0.644563096387711 12.271164602034933,-0.644342264803043 12.271065157192156,-0.644144259962208 12.271023288543192,-0.643970255120446 12.27090703209711,-0.643831510541354 12.270762388791468,-0.643674804423862 12.270669232993328,-0.643365372691677 12.270035391220032,-0.643316080043392 12.269673473070526,-0.643020733298 12.269424198474734,-0.642928509892788 12.26929716910458,-0.642587103423843 12.268978641945726,-0.642199178015962 12.268642500222134,-0.642068005251686 12.26830282958538,-0.641931764382613 12.267877045355146,-0.641923363240946 12.267509741186899,-0.641802123654906 12.267365247953954,-0.641600071164452 12.267341513496403,-0.640775917253909 12.267071428160607,-0.640089991218178 12.266635172888817,-0.639893472319038 12.266426912905903,-0.639695369940199 12.266396516888854,-0.639462314421328 12.266360081690065,-0.639235706248992 12.266254845980846,-0.639056077258188 12.26611558689706,-0.638823022170267 12.266079151214738,-0.638649125365922 12.265951417277552,-0.638522207697929 12.265789660133166,-0.638370931740026 12.265742452774056,-0.638161417781271 12.265683267510015,-0.638117337748667 12.265610206510525,-0.637955893582751 12.265394597134105,-0.637588416640691 12.265165735963237,-0.637289857607558 12.265059878773101,-0.637000645899666 12.264778137151255,-0.636754865306854 12.26442408871215,-0.636365623609267 12.264019073984025,-0.636107562655642 12.263733775056547,-0.635787682512045 12.26340203900099,-0.63559171526005 12.263132576578352,-0.63533389475097 12.262820502060022,-0.635102685839459 12.262577512656184,-0.6349024211219 12.262353916669259,-0.634722217345765 12.262061638000173,-0.634583943058737 12.26186535391982,-0.63441448644193 12.26167645137517,-0.634291223698952 12.261541501770353,-0.634015017703218 12.261110683152017,-0.633915705344094 12.26090708449411,-0.63383150651888 12.260753345327327,-0.633681804588866 12.260530185199665,-0.633613709131664 12.26031537998051,-0.633506721166921 12.260100239088722,-0.633273331527546 12.260102049952783,-0.63314873872741 12.260116275724233,-0.632799422526243 12.26003292862317,-0.63256585460368 12.25994579889158,-0.632315509974794 12.259886257614674,-0.632109124474167 12.25980414389765,-0.631876666004828 12.25970172199809,-0.631766257911505 12.259651995753048,-0.631566808279414 12.259446575415208,-0.63147195854232 12.259287962197437,-0.63149915879882 12.25918204485658,-0.631573337290635 12.259042105502958,-0.631629629888397 12.258945046352014,-0.631598619581098 12.258824281314096,-0.631533605249029 12.258591332325883,-0.631503594042998 12.258358685663337,-0.631494418569347 12.25818838021363,-0.631435317272034 12.257728832816671,-0.631386878283229 12.257164181551492,-0.631345279528565 12.256595764061997,-0.631296431683049 12.255967991700714,-0.631227936885945 12.25492691641971,-0.631207811844006 12.25456716367466,-0.631165785982171 12.254046558869977,-0.631107998587213 12.25354876981499,-0.630993380002642 12.25244609137203,-0.630886744617997 12.25132053005932,-0.629586685061107 12.251431711229353,-0.629499222251477 12.250773003214865,-0.629405074539137 12.249991827726523,-0.629364486017274 12.249310572875771,-0.62927647691814 12.248713065078254,-0.6291832175747 12.24783243941894,-0.629121958801255 12.246852632300532,-0.629049101684173 12.246349880402986)))"
2,Secteur 2,"MULTIPOLYGON(((-0.615222504470863 12.247426792849527,-0.615172940383628 12.247603319343492,-0.615131301307755 12.247908979021005,-0.615127779249696 12.248301038455395,-0.615063945519911 12.24891252667213,-0.615118586965299 12.249324217897666,-0.615145091524331 12.249620906544886,-0.615201107669128 12.249879598994186,-0.615481260343865 12.250082860255691,-0.615867246141308 12.250411362155543,-0.61669704165098 12.251126246165645,-0.617700735018183 12.251966959856496,-0.618232052810316 12.252354100419318,-0.618638434978059 12.2525775815176,-0.619034322955789 12.252887039797379,-0.619557037136387 12.253149782201186,-0.619895705338273 12.253334421453323,-0.620079752493993 12.25341252379487,-0.62047615812321 12.253664605764655,-0.62081422758553 12.253916181340834,-0.621462657230783 12.254256516757222,-0.622110574553578 12.254654225755571,-0.62269086220729 12.255003531335902,-0.623155162070491 12.255275325131741,-0.623745603879104 12.255576900824323,-0.624064233460112 12.255828304908976,-0.624354123011085 12.2560316436631,-0.624546269871408 12.256291515015256,-0.624612275547832 12.256521604137852,-0.624735591627536 12.256866948345928,-0.624887905657212 12.257231670139895,-0.625058638635712 12.257711310175939,-0.625257856245852 12.258267702711786,-0.625342966354407 12.25853621018999,-0.625484360230314 12.259034722601152,-0.62552801010119 12.259589767998646,-0.625659510214899 12.260107321231093,-0.625955105103058 12.260760180646711,-0.626290107363884 12.261356001757143,-0.626713218556265 12.26188564280061,-0.627558162331038 12.263088361328489,-0.627942128930799 12.263646352282542,-0.628307591499287 12.264098987148195,-0.628845593891445 12.264830448622934,-0.629248669916379 12.265426856928906,-0.629719554451017 12.26605254115516,-0.629989584984946 12.266303521055827,-0.630220893580765 12.266535039431792,-0.630722149066694 12.267027099631347,-0.631387849689601 12.267616213287328,-0.632033679267425 12.268252970439864,-0.632651024937074 12.268812974324979,-0.633238775779542 12.269420537988289,-0.63367266095313 12.269835506440126,-0.634077633066307 12.270221534917138,-0.634385883212398 12.270549348171418,-0.634588028724693 12.270780612297747,-0.63483810948999 12.271088796438535,-0.635088532221759 12.271358730258884,-0.635368296890917 12.271609790632462,-0.635521655395082 12.27185975979589,-0.635916141692326 12.272331765610515,-0.63618499003281 12.2727166173132,-0.636569755033668 12.273188538697177,-0.636983436454456 12.27368939911763,-0.637378439603497 12.27410402837241,-0.63768541894043 12.274575277859755,-0.637983187193789 12.274989067933957,-0.638095778875614 12.275449077412837,-0.638150284071759 12.275879896047176,-0.638204789314704 12.276310714690757,-0.638148665802271 12.277151801149687,-0.638182443987867 12.27772589054102,-0.638139881256888 12.278136745331988,-0.638096977093575 12.278585850336523,-0.638095782611096 12.279809942344453,-0.638027287254108 12.280947383907456,-0.638059441965509 12.28144284163498,-0.63623936526622 12.282113383426733,-0.630868271515988 12.283456156864565,-0.625543795236237 12.284966779165128,-0.614263744469773 12.27488473615143,-0.610082805401278 12.272390717073637,-0.607647617842168 12.27243719223932,-0.606029584358167 12.272865495220412,-0.604649496974679 12.273198619761398,-0.602555571289546 12.27367451196251,-0.597101901124336 12.27578197166964,-0.593656387127423 12.276053972968779,-0.591705229102598 12.275863616088449,-0.589297849517947 12.27482042392303,-0.588754697455044 12.273103441321975,-0.588849875895201 12.271866121598785,-0.589877946070654 12.266636949209888,-0.589611303416794 12.264822917021462,-0.589801660297212 12.263442829638011,-0.588180403560848 12.254153615377664,-0.582092206636957 12.24450232003184,-0.581616314435707 12.243502946409329,-0.580180109552955 12.24123046050804,-0.578652280446188 12.238812956692163,-0.578377876445109 12.238468698775232,-0.5779616708325 12.238222395466464,-0.577342169120676 12.23792048047423,-0.576839855281008 12.237562220658578,-0.576725285274265 12.237331699486964,-0.577109932795465 12.236732628036004,-0.577848487825885 12.235706344379512,-0.578183475195689 12.235221587921863,-0.57868129297679 12.235006028512268,-0.57921153026333 12.235137700615983,-0.579408507449114 12.235202269174804,-0.579715687535313 12.235293719933987,-0.579911192512254 12.23534899489988,-0.580108183436199 12.235411933194046,-0.580244565758931 12.235468217195413,-0.580388920664276 12.235503150341703,-0.580509901346083 12.235542467763912,-0.580677449561833 12.235592905785301,-0.58078843046997 12.235641315469142,-0.580922226774155 12.235682658187784,-0.58109099579013 12.235727177701115,-0.581405149303886 12.235821748330578,-0.581748286047892 12.235936656021007,-0.582013015105213 12.236013577581748,-0.582260218836831 12.236093213550829,-0.582533645808587 12.236175949001273,-0.583138675369564 12.23635914440421,-0.583580847145882 12.236489265892896,-0.583932970652257 12.236578430182881,-0.584395507329879 12.236714467409534,-0.584922235557601 12.236848199460301,-0.585070642468237 12.236886799943255,-0.585696301032323 12.237047220490975,-0.58584173952648 12.2370915322978,-0.586569037152155 12.237301615632006,-0.587133658090567 12.2374385456889,-0.587680754186015 12.237578189665163,-0.588216210687511 12.237714861539835,-0.588463496960116 12.237785886537376,-0.588908669954264 12.237907419949117,-0.589755372502856 12.238138626195594,-0.590392340988137 12.23833930097213,-0.590589890240578 12.238427101309624,-0.590755434912695 12.238506014052081,-0.59162938383787 12.238949753336437,-0.592058963977331 12.239183032924771,-0.592642034530797 12.239538151749239,-0.593152944613757 12.239809438741302,-0.594133545585498 12.240394682966892,-0.595581473263905 12.241233612599506,-0.596379400429974 12.241699625295011,-0.597998493676486 12.242643324159822,-0.599280975121676 12.243394723217772,-0.599719268963083 12.243633807250811,-0.599890498192184 12.243729978748053,-0.600401114483014 12.244035679423336,-0.600935402588802 12.244304290199436,-0.601179524443227 12.244403966985617,-0.601496590037461 12.24450141200017,-0.601836963671506 12.244601929237541,-0.602189133987637 12.244688204503307,-0.602497709371105 12.244756885042156,-0.602777169664295 12.244819573148781,-0.603074208096794 12.244873807695475,-0.603344866834431 12.244942156273375,-0.603624379458142 12.244999106181448,-0.60374667437507 12.245023125213486,-0.604145513786298 12.245109805563038,-0.604599615948769 12.245214181220732,-0.605132392458076 12.24532784939769,-0.605734860583446 12.245476551716687,-0.606069766652576 12.245536851416226,-0.606352120143269 12.245602430333497,-0.606707185181564 12.245691594456545,-0.607184598115042 12.245799038363412,-0.607563126992629 12.245874061328564,-0.607924026554119 12.245963274862783,-0.60811340756001 12.245987876726424,-0.60875088089922 12.246136878005045,-0.609205065514137 12.246232640545674,-0.609673808478908 12.24633139811602,-0.610223936753492 12.246462421924418,-0.610852688880911 12.24660847383739,-0.611461282786075 12.246725659554839,-0.612063811758646 12.246868611759503,-0.612579122703229 12.24697924568073,-0.612911039630315 12.247048118456723,-0.613426274205568 12.247167357086983,-0.614023075624311 12.247298779736349,-0.614547293842088 12.247392273973755,-0.615025411314358 12.247422249731931,-0.615222504470863 12.247426792849527)))"
3,Secteur 1,"MULTIPOLYGON(((-0.629049101684173 12.246349880402986,-0.629121958801255 12.246852632300532,-0.6291832175747 12.24783243941894,-0.62927647691814 12.248713065078254,-0.629364486017274 12.249310572875771,-0.629405074539137 12.249991827726523,-0.629499222251477 12.250773003214865,-0.629586685061107 12.251431711229353,-0.630886744617997 12.25132053005932,-0.630993380002642 12.25244609137203,-0.631107998587213 12.25354876981499,-0.631165785982171 12.254046558869977,-0.631207811844006 12.25456716367466,-0.631227936885945 12.25492691641971,-0.631296431683049 12.255967991700714,-0.631345279528565 12.256595764061997,-0.631386878283229 12.257164181551492,-0.631435317272034 12.257728832816671,-0.631494418569347 12.25818838021363,-0.631503594042998 12.258358685663337,-0.631533605249029 12.258591332325883,-0.631598619581098 12.258824281314096,-0.631629629888397 12.258945046352014,-0.631573337290635 12.259042105502958,-0.63149915879882 12.25918204485658,-0.63147195854232 12.259287962197437,-0.631566808279414 12.259446575415208,-0.631766257911505 12.259651995753048,-0.631876666004828 12.25970172199809,-0.632109124474167 12.25980414389765,-0.632315509974794 12.259886257614674,-0.63256585460368 12.25994579889158,-0.632799422526243 12.26003292862317,-0.63314873872741 12.260116275724233,-0.633273331527546 12.260102049952783,-0.633506721166921 12.260100239088722,-0.633613709131664 12.26031537998051,-0.633681804588866 12.260530185199665,-0.63383150651888 12.260753345327327,-0.633915705344094 12.26090708449411,-0.634015017703218 12.261110683152017,-0.634291223698952 12.261541501770353,-0.63441448644193 12.26167645137517,-0.634583943058737 12.26186535391982,-0.634722217345765 12.262061638000173,-0.6349024211219 12.262353916669259,-0.635102685839459 12.262577512656184,-0.63533389475097 12.262820502060022,-0.63559171526005 12.263132576578352,-0.635787682512045 12.26340203900099,-0.636107562655642 12.263733775056547,-0.636365623609267 12.264019073984025,-0.636754865306854 12.26442408871215,-0.637000645899666 12.264778137151255,-0.637289857607558 12.265059878773101,-0.637588416640691 12.265165735963237,-0.637955893582751 12.265394597134105,-0.638117337748667 12.265610206510525,-0.638161417781271 12.265683267510015,-0.638370931740026 12.265742452774056,-0.638522207697929 12.265789660133166,-0.638649125365922 12.265951417277552,-0.638823022170267 12.266079151214738,-0.639056077258188 12.26611558689706,-0.639235706248992 12.266254845980846,-0.639462314421328 12.266360081690065,-0.639695369940199 12.266396516888854,-0.639893472319038 12.266426912905903,-0.640089991218178 12.266635172888817,-0.640775917253909 12.267071428160607,-0.641600071164452 12.267341513496403,-0.641802123654906 12.267365247953954,-0.641923363240946 12.267509741186899,-0.641931764382613 12.267877045355146,-0.642068005251686 12.26830282958538,-0.642199178015962 12.268642500222134,-0.642587103423843 12.268978641945726,-0.642928509892788 12.26929716910458,-0.643020733298 12.269424198474734,-0.643316080043392 12.269673473070526,-0.643365372691677 12.270035391220032,-0.643674804423862 12.270669232993328,-0.643831510541354 12.270762388791468,-0.643970255120446 12.27090703209711,-0.644144259962208 12.271023288543192,-0.644342264803043 12.271065157192156,-0.644563096387711 12.271164602034933,-0.644748158048267 12.271349809323022,-0.644910750202076 12.271437277229808,-0.644980301453637 12.271489517202944,-0.645183784109692 12.271571598477308,-0.645374680709268 12.271756855617777,-0.645478574473966 12.271883984802246,-0.645564353881767 12.272079814401161,-0.645695991280519 12.272367846286091,-0.645833972976118 12.27259855256493,-0.645907727477064 12.272834444868389,-0.645988030054803 12.272990061282881,-0.646167259700561 12.273175217865093,-0.646358005135137 12.273377687360727,-0.646466612732282 12.27363109314345,-0.646500088945577 12.27380352117896,-0.646545896345082 12.273901460997074,-0.646783673343646 12.274064168339807,-0.646839671283195 12.274328598101015,-0.647071104928581 12.274548630938712,-0.647384473529052 12.27474067737983,-0.647646251339349 12.274828996124377,-0.647785152936727 12.274956425485877,-0.647906246134843 12.275118129967629,-0.648185884019347 12.275166435539548,-0.648389931070066 12.275185401700252,-0.648552781635845 12.275244180154603,-0.648750994537254 12.27526309596931,-0.649018251334769 12.275391626758045,-0.649192516195188 12.275479192973417,-0.649442881620343 12.275538722144692,-0.649635413370256 12.27554037453326,-0.64998623476676 12.275457314696464,-0.650237567605011 12.275407828960905,-0.650477282695396 12.275352505283019,-0.650647240640288 12.275267892853146,-0.650792843560951 12.275297831968494,-0.651165933237936 12.27533546013966,-0.651439738267154 12.27538371249801,-0.651532781834944 12.275418938554838,-0.651689036236082 12.275563729203613,-0.651833520457537 12.275719894937634,-0.651932398523008 12.275755170913135,-0.652212750600953 12.275723146252092,-0.652345312337833 12.275907899744654,-0.652542051768982 12.276093203329216,-0.652956186882517 12.276108228975584,-0.653328871847278 12.276191755277804,-0.6536310877109 12.276326319698027,-0.653985660468473 12.27647854649169,-0.654177329588347 12.276577735111188,-0.654350327049572 12.276808738646636,-0.654376741395825 12.276931685099912,-0.651877208379877 12.277427275657013,-0.643502533020422 12.279916107236911,-0.640878021301644 12.280404388486843,-0.638059426125967 12.281442831070173,-0.638027271414594 12.280947373342617,-0.638095766771638 12.279809931779662,-0.638096961254181 12.278585839771711,-0.638139865417515 12.27813673476722,-0.638182428148514 12.27772587997627,-0.63814864996295 12.277151790584925,-0.638204773475423 12.27631070412601,-0.638150268232504 12.275879885482423,-0.638095763036384 12.275449066848092,-0.637983171354589 12.27498905736921,-0.637685403101266 12.274575267294999,-0.637378423764374 12.274104017807643,-0.636983420615376 12.27368938855281,-0.636569739194635 12.273188528132376,-0.636184974193821 12.272716606748384,-0.63591612585337 12.27233175504569,-0.635521639556171 12.271859749231046,-0.635368281052037 12.271609780067584,-0.635088516382904 12.271358719694025,-0.634838093651154 12.271088785873635,-0.634588012885886 12.270780601732888,-0.634385867373614 12.270549337606534,-0.634077617227555 12.270221524352241,-0.63367264511442 12.269835495875178,-0.633238759940883 12.269420527423327,-0.632651009098468 12.268812963760023,-0.63203366342888 12.268252959874896,-0.631387833851122 12.267616202722323,-0.63072213322828 12.267027089066316,-0.630220877742403 12.266535028866736,-0.629989569146616 12.266303510490728,-0.629719538612704 12.266052530590088,-0.629248654078132 12.265426846363814,-0.62884557805324 12.26483043805783,-0.628307575661149 12.264098976583071,-0.627942113092703 12.263646341717402,-0.627558146492991 12.263088350763336,-0.626713202718323 12.261885632235396,-0.626290091525992 12.261355991191945,-0.625955089265214 12.2607601700815,-0.625659494377104 12.260107310665889,-0.625527994263438 12.259589757433426,-0.625484344392584 12.259034712035952,-0.625342950516709 12.258536199624771,-0.625257840408173 12.25826769214657,-0.625058622798072 12.257711299610685,-0.624887889819606 12.257231659574668,-0.624735575789957 12.256866937780666,-0.624612259710277 12.256521593572616,-0.624546254033868 12.256291504450022,-0.624354107173569 12.256031633097859,-0.624064217622622 12.255828294343722,-0.623745588041652 12.25557689025902,-0.623155146233076 12.255275314566413,-0.622690846369912 12.255003520770604,-0.622110558716248 12.254654215190232,-0.621462641393506 12.254256506191819,-0.620814211748304 12.253916170775456,-0.620476142286015 12.253664595199206,-0.62007973665684 12.25341251322944,-0.619895689501133 12.253334410887849,-0.619557021299274 12.253149771635732,-0.619034307118708 12.252887029231903,-0.618638419141014 12.25257757095207,-0.618232036973304 12.252354089853803,-0.617700719181226 12.25196694929096,-0.616697025814118 12.251126235600085,-0.615867230304517 12.25041135158993,-0.61548124450711 12.250082849690061,-0.615201091832399 12.249879588428545,-0.615145075687618 12.249620895979248,-0.615118571128603 12.249324207331993,-0.615063929683239 12.248912516106493,-0.615127763413053 12.248301027889768,-0.615131285471131 12.247908968455382,-0.615172924547018 12.247603308777874,-0.615222488634259 12.247426782283915,-0.615424940880119 12.247431448784754,-0.615889041728396 12.247398184313088,-0.616195456856649 12.247383632162894,-0.616475775634338 12.247351639304258,-0.616610127235735 12.247332723373237,-0.616843468688745 12.247334749622325,-0.617164596476853 12.247305979339618,-0.617558669240795 12.247274972923748,-0.617909016213435 12.247240717463608,-0.618261996860868 12.24723804292805,-0.618659166584188 12.247186979053447,-0.618977326174007 12.247163918741997,-0.619190276206396 12.247162897105396,-0.619479448173796 12.247119502022095,-0.619674949050378 12.24711259073631,-0.620048630227581 12.247078534820705,-0.620296787326137 12.247054865907986,-0.620606196656813 12.247031727781463,-0.620857141996157 12.247022427329284,-0.62111975445764 12.247013227767624,-0.621455414814599 12.246990316185977,-0.62195147212734 12.246971662924867,-0.622269374983382 12.246977286119376,-0.622738667772534 12.247015778875072,-0.623213820089617 12.247051452625165,-0.623531517921789 12.247080024341539,-0.623762148956687 12.247059069448637,-0.62400434442134 12.24704969034154,-0.624182499085727 12.247025411827854,-0.624591233438723 12.246985915072306,-0.625093433102094 12.246932881588203,-0.625437844287442 12.24691004076364,-0.625648160470924 12.246877432585977,-0.625846809503823 12.246844723316599,-0.626054285812318 12.24680348332616,-0.626369759970458 12.246754570241574,-0.626656117542783 12.24669966705614,-0.626849035454405 12.246655431560587,-0.62705351789821 12.246622771796702,-0.627427558235366 12.246548542970102,-0.627746000174491 12.246493915902734,-0.628003138363559 12.24644449662055,-0.62825129552186 12.246420820266493,-0.628625053701431 12.246378146008416,-0.628969490316515 12.246352431800869,-0.629049101684173 12.246349880402986)))"
